Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2,Price_Clean,Lot_Size,Living_Space,Build_Year,Total_Rooms,Bedrooms,Number_of_Floors
Azaleastraat 24,Terneuzen,€ 439.500,201 m²,121 m²,2008,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,Patio/atrium,2.370,439500.0,201,121,2008.0,4.0,3.0,2.0
Elias Beeckmanstraat 28,Wezep,€ 575.000,266 m²,158 m²,2003,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak,7 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",2.595,575000.0,266,158,2003.0,7.0,6.0,2.0
Legmeerdijk 40,Amstelveen,€ 849.000,166 m²,170 m²,1963,Bestaande bouw,"Eengezinswoning, hoekwoning (dijkwoning)",Samengesteld dak bedekt met pannen,7 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een zolder,B,"Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, plaats en voortuin",3.050,849000.0,166,170,1963.0,7.0,4.0,3.0
Neel Doffstraat 20,Buggenum,€ 398.000,385 m²,160 m²,1995,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,885,398000.0,385,160,1995.0,4.0,3.0,2.0
De Noord 33,Ilpendam,€ 675.000,152 m²,94 m²,1984,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,C,"Aan rustige weg, aan vaarwater, landelijk gelegen, open ligging en vrij uitzicht",Achtertuin,1.755,675000.0,152,94,1984.0,6.0,4.0,2.0
Paulus de boskabouterhof 25,Almere,€ 450.000,245 m²,116 m²,2005,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,In woonwijk,Achtertuin en voortuin,6.870,450000.0,245,116,2005.0,4.0,3.0,2.0
Noorderweg 59,Huizen,€ 399.000,140 m²,80 m²,,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,G,Aan rustige weg en in woonwijk,Voortuin en zijtuin,3.545,399000.0,140,80,,4.0,3.0,3.0
Smidstraat 64,Cuijk,€ 400.000,360 m²,124 m²,1928,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,G,Beschutte ligging en in centrum,Achtertuin,3.970,400000.0,360,124,1928.0,5.0,4.0,2.0
Jannevroukamp 19,Harderwijk,€ 975.000,467 m²,199 m²,1992,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,8 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",B,Aan rustige weg en in woonwijk,"Achtertuin, tuin rondom, voortuin en zijtuin",1.240,975000.0,467,199,1992.0,8.0,6.0,2.0
Kouwenoordweg 22,Amsterdam,€ 600.000,125 m²,164 m²,2010,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan drukke weg, beschutte ligging, in woonwijk en vrij uitzicht",Achtertuin,29.775,600000.0,125,164,2010.0,6.0,4.0,3.0
Bautersemstraat 42,Den Haag,€ 875.000,147 m²,191 m²,2002,Bestaande bouw,"Herenhuis, tussenwoning",Plat dak,5 kamers (2 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A+,Aan rustige weg en in woonwijk,Achtertuin,6.265,875000.0,147,191,2002.0,5.0,2.0,3.0
